transaction_id,vin,fuel_liters,odometer_reading,timestamp
TXN_000001,G067883D,205.4,30459.9,2024-12-28 08:35:50
TXN_000002,N329318L,247.0,22177.4,2024-12-07 08:43:37
TXN_000003,M016315X,145.1,70168.2,2024-06-30 07:23:12
TXN_000004,T254629F,216.1,98906.4,2024-02-12 07:49:40
TXN_000005,J212499T,218.6,36466.9,2024-06-16 08:42:38
TXN_000006,F870021B,232.6,64586.3,2024-06-03 08:12:41
TXN_000007,A457759X,186.0,63877.0,2024-10-01 08:52:34
TXN_000008,F476870R,173.7,13002.3,2024-02-08 08:08:20
TXN_000009,D456506K,210.5,51613.8,2024-11-27 07:41:48
TXN_000010,U657661B,174.7,11817.2,2024-01-30 07:10:58
TXN_000011,H134936I,193.2,23881.7,2024-12-11 08:37:05
TXN_000012,R183046M,100.0,100000.9,2024-02-22 07:29:56
TXN_000013,J932480A,210.7,42018.1,2024-04-18 07:00:53
TXN_000014,E013267N,185.7,50831.9,2024-01-29 08:48:42
TXN_000015,M473947H,184.3,58843.0,2024-10-01 07:39:59
TXN_000016,X806174T,41.4,36466.2,2024-09-06 08:21:20
TXN_000017,H219136K,111.7,16389.3,2024-12-12 07:11:23
TXN_000018,D456506K,101.1,52064.8,2024-06-02 07:10:12
TXN_000019,O585277L,175.3,22865.2,2024-03-21 08:52:22
TXN_000020,R927065U,52.9,93571.2,2024-08-19 07:30:51
TXN_000021,U302843K,234.9,67067.2,2024-08-01 07:30:02
TXN_000022,P260422J,102.2,89229.2,2024-05-21 08:01:38
TXN_000023,M523124L,208.4,29324.5,2024-09-05 08:35:01
TXN_000024,U137098N,231.1,80781.0,2024-10-06 07:43:01
TXN_000025,K742054R,110.7,73437.9,2024-06-22 07:29:43
TXN_000026,N591803S,202.6,39492.0,2024-02-13 07:57:35
TXN_000027,Q868501L,128.8,63732.6,2024-01-11 07:48:17
TXN_000028,S812067M,234.6,32023.6,2024-05-29 07:41:16
TXN_000029,J861015F,159.2,64318.8,2024-03-12 08:05:06
TXN_000030,O626383Z,188.2,66905.0,2024-05-22 07:12:25
TXN_000031,Z769367P,245.7,99539.7,2024-08-08 08:30:54
TXN_000032,V104332G,195.3,47251.1,2024-12-02 08:57:45
TXN_000033,Z825128H,85.7,88179.3,2024-03-06 08:58:34
TXN_000034,Q868501L,171.8,64316.6,2024-02-21 08:46:44
TXN_000035,C464887F,158.6,17629.3,2024-11-27 08:44:05
TXN_000036,K123828V,79.4,57981.8,2024-05-02 08:35:15
TXN_000037,Z277584F,90.3,13809.6,2024-07-28 07:28:29
