vin,driver_id,start_timestamp,end_timestamp,daily_rate,region
S966319O,DRV_941,1713600600,1721117400,557.28,Central
S812067M,DRV_987,1728322534,1732556134,583.71,West
N848421V,DRV_911,1726549624,1733720824,437.85,North
M518705S,DRV_508,1735146224,1739811824,434.91,Central
O497840Z,DRV_373,1722414711,1725179511,630.67,West
I376724P,DRV_949,1719269363,1724971763,369.43,North
A587603Y,DRV_371,1715409199,1716618799,397.94,East
N415747M,DRV_545,1712226230,1719224630,512.79,South
V104332G,DRV_510,1723323093,1725828693,470.04,Northeast
Y258313I,DRV_926,1724672313,1725190713,391.24,East
M523124L,DRV_157,1709145283,1715020483,522.73,West
C483503Z,DRV_605,1732018733,1732796333,372.16,Northwest
W365414P,DRV_864,1734133975,1736898775,576.65,Central
C033119C,DRV_814,1731606948,1733939748,382.39,South
Z277584F,DRV_217,1717745076,1717831476,644.3,North
H137215C,DRV_180,1714845472,1721066272,470.18,Northwest
E361103E,DRV_666,1704803077,1706703877,636.84,Northwest
I145623Y,DRV_924,1708920666,1711858266,379.21,East
P268705Q,DRV_854,1733361625,1735521625,432.08,Northwest
J970283U,DRV_646,1717558254,1718335854,572.1,Northeast
P317810I,DRV_103,1721374147,1722842947,528.36,Central
G909656A,DRV_505,1725222830,1725741230,636.93,Northeast
F819600N,DRV_173,1719560122,1725694522,431.45,West
D951718A,DRV_275,1721413888,1722623488,601.92,Central
Z262849I,DRV_799,1725092074,1729325674,513.77,Central
V354033H,DRV_771,1724783929,1727548729,524.53,Northeast
C982258H,DRV_758,1718842781,1722298781,464.35,East
H086211J,DRV_127,1715050458,1718852058,643.67,Northwest
R183046M,DRV_658,1707779863,1709162263,566.71,Northeast
P586518V,DRV_704,1732414604,1740017804,648.41,South
F870021B,DRV_786,1733902251,,384.02,West
A399091Q,DRV_350,1726977027,1727668227,528.8,Northwest
L660937B,DRV_246,1731162534,1735568934,444.32,West
B970629K,DRV_111,1725797670,1727266470,523.78,East
M014767C,DRV_697,1705939918,1710173518,364.75,Central
H708668I,DRV_742,1723273751,1726643351,439.61,Central
B824771O,DRV_259,1705642859,1708926059,649.59,Northeast
T617990Q,DRV_733,1730424781,1736645581,479.4,West
C346578H,DRV_975,1730547616,1735386016,354.31,Northwest
Y806578F,DRV_333,1714628377,1719380377,497.01,West
U617711M,DRV_771,1734013309,1734358909,584.76,East
L867362O,DRV_396,1711473759,1713633759,591.58,North
E573322S,DRV_703,1712204707,1716351907,471.33,West
F929662O,DRV_703,1732732356,1739817156,475.62,Northeast
D759464T,DRV_189,1707704456,1712110856,531.1,East
K324210Y,DRV_189,1704374427,1712064027,477.65,Northwest
P776945F,DRV_529,1709936135,1711664135,638.98,Northwest
P143410A,DRV_267,1733640539,1738997339,492.18,West
Z951343M,DRV_261,1714670576,,358.32,North
S966319O,DRV_982,1727862022,1728985222,623.22,Northwest
X370589D,DRV_487,1721965432,1727754232,648.01,North
V611254D,DRV_771,1704570986,1705780586,504.88,West
U627570W,DRV_796,1720661014,1726881814,612.39,South
S986652C,DRV_538,1733678266,1737652666,585.68,North
Y806578F,DRV_743,1719036347,1720591547,472.56,East
W696582E,DRV_532,1725494860,,569.13,South
E930103C,DRV_199,1721809504,1724660704,577.92,West
J212499T,DRV_926,1718498414,1722386414,568.85,Northwest
G909656A,DRV_317,1705680956,1710864956,642.11,Northeast
W805310B,DRV_479,1712949967,1718652367,388.38,Northeast
A470551L,DRV_641,1729272569,1731864569,613.59,East
I485807N,DRV_214,1713071691,,633.37,East
W451712O,DRV_263,1716396012,1719592812,451.56,South
H410564E,DRV_194,1732437805,1733301805,633.34,South
Z593040E,DRV_796,1719081110,1722277910,534.43,Northeast
M543799D,DRV_132,1726957097,1733869097,644.99,West
J924075G,DRV_839,1717426695,1719759495,438.04,Northeast
I522872P,DRV_756,1709649236,1715092436,407.49,Northwest
T958887K,DRV_771,1716801340,1724404540,371.83,West
Q885165W,DRV_796,1704490508,1711748108,590.36,North
Q904530H,DRV_818,1712353063,1712871463,564.43,South
M269166D,DRV_373,1724497848,1727089848,513.6,Northwest
C868727Q,DRV_949,1725009492,1727601492,418.86,East
J078161S,DRV_204,1732851482,1740627482,572.09,Central
Q602606Y,DRV_838,1733346359,1737752759,501.55,Central
H127756I,DRV_130,1732338827,1737090827,401.67,East
F131712T,DRV_710,1716128825,1719066425,366.05,Central
S427109E,DRV_317,1733561820,1737622620,492.53,Central
C999386C,DRV_670,1727708874,1733843274,542.54,Northeast
L143888S,DRV_798,1726532499,1730161299,528.73,South
G747016D,DRV_324,1720922907,1726625307,612.24,Northeast
S596966H,DRV_605,1723122712,1729602712,525.9,Central
Z785969L,DRV_925,1733756135,1741445735,441.82,East
U627570W,DRV_651,1727658568,1729213768,381.4,Northwest
H043289B,DRV_490,1708681950,1711533150,360.93,North
P914630F,DRV_649,1724140043,1730188043,464.4,East
B912419T,DRV_949,1708503135,1710835935,544.61,Central
