vin,model,mfg_year,fuel_type
V104332G,Mack Anthem,2023,Diesel
F819600N,Kenworth T680,2023,Diesel
T389083P,Volvo VNL,2019,LNG
Z863794A,Navistar 4300,2024,Diesel
W265423V,Peterbilt 579,2017,CNG
M116155Q,International LT,2017,Diesel
J078161S,Navistar 4300,2023,Diesel
Q959310O,Freightliner M2,2024,Diesel
D413164O,International LT,2022,Diesel
S525534R,Freightliner M2,2016,Diesel
D192832Y,International LT,2019,Diesel
C483503Z,Peterbilt 579,2015,CNG
T564139U,Peterbilt 579,2024,CNG
I376724P,Volvo VNL,2016,LNG
Z884969X,Freightliner Cascadia,2016,Electric
H328710J,Navistar 4300,2017,Diesel
M269166D,Kenworth T680,2022,Diesel
W848018R,Navistar 4300,2017,Diesel
A514627U,Mack Anthem,2023,Diesel
O482814G,Hino 268,2021,CNG
X932528H,Peterbilt 579,2023,CNG
X095701Z,Peterbilt 579,2019,CNG
F430391U,Western Star 49X,2020,LNG
J718227K,Freightliner Cascadia,2023,Electric
W489638U,Freightliner Cascadia,2016,Electric
C346578H,Peterbilt 579,2018,CNG
J331509O,Volvo VNL,2020,LNG
E930103C,Freightliner M2,2024,Diesel
N518347I,Navistar 4300,2018,Diesel
Z299737A,Hino 268,2018,CNG
A311656D,Freightliner M2,2016,Diesel
P010651M,Freightliner M2,2018,Diesel
R387262D,Volvo VNL,2015,LNG
P317810I,International LT,2016,Diesel
E013267N,Navistar 4300,2018,Diesel
Q602606Y,Mack Anthem,2022,Diesel
M746872S,Peterbilt 579,2023,CNG
D309805D,Kenworth T680,2024,Diesel
G978820F,Hino 268,2022,CNG
H219136K,Peterbilt 579,2022,CNG
A399091Q,Western Star 49X,2018,LNG
Q998543T,Volvo VNL,2016,LNG
D534624U,Western Star 49X,2020,LNG
E107991I,Western Star 49X,2021,LNG
P384251X,Freightliner Cascadia,2015,Electric
Z427849P,Volvo VNL,2015,LNG
Q808412H,Western Star 49X,2020,LNG
N182449T,Volvo VNL,2018,LNG
D534874F,Peterbilt 579,2018,CNG
O640052Q,Navistar 4300,2022,Diesel
H278680E,Kenworth T680,2021,Diesel
J280598B,Kenworth T680,2019,Diesel
N204505R,Freightliner Cascadia,2018,Electric
V315869J,Volvo VNL,2022,LNG
V322602V,Navistar 4300,2016,Diesel
C634216E,Freightliner M2,2023,Diesel
O337543B,Freightliner M2,2016,Diesel
W365414P,Peterbilt 579,2017,CNG
Q868501L,Western Star 49X,2022,LNG
W940196U,Freightliner Cascadia,2018,Electric
K569816M,Western Star 49X,2015,LNG
R406088U,Kenworth T680,2021,Diesel
U356159Q,Freightliner M2,2021,Diesel
Z148465S,Mack Anthem,2022,Diesel
R482366V,Mack Anthem,2021,Diesel
A299468T,Navistar 4300,2022,Diesel
D436995C,Kenworth T680,2018,Diesel
S738721G,Mack Anthem,2018,Diesel
Z951343M,Freightliner M2,2024,Diesel
X200379E,Navistar 4300,2015,Diesel
Z769367P,International LT,2015,Diesel
Z201632S,Freightliner M2,2024,Diesel
D870831I,Freightliner Cascadia,2023,Electric
N788957U,Navistar 4300,2017,Diesel
C868727Q,Freightliner M2,2023,Diesel
C348734E,Volvo VNL,2017,LNG
F434558I,Volvo VNL,2024,LNG
A236231A,Volvo VNL,2018,LNG
A587603Y,Western Star 49X,2016,LNG
W909670T,Hino 268,2018,CNG
F668893O,Hino 268,2024,CNG
Q467065R,Freightliner M2,2024,Diesel
B627298Z,Volvo VNL,2021,LNG
D990162L,Hino 268,2024,CNG
U046537V,Navistar 4300,2020,Diesel
B646417V,Mack Anthem,2018,Diesel
W805310B,International LT,2018,Diesel
I330923E,Mack Anthem,2021,Diesel
K193745M,Kenworth T680,2019,Diesel
B912419T,Freightliner Cascadia,2020,Electric
S966319O,Volvo VNL,2015,LNG
Y314919C,Freightliner Cascadia,2024,Electric
P586518V,Hino 268,2016,CNG
O067165D,Volvo VNL,2023,LNG
Z262849I,Peterbilt 579,2023,CNG
P776945F,Mack Anthem,2017,Diesel
Q473799Y,International LT,2016,Diesel
N507527W,Peterbilt 579,2020,CNG
A454948H,Mack Anthem,2017,Diesel
W313678P,Freightliner Cascadia,2023,Electric
O777014Z,Mack Anthem,2024,Diesel
H349578W,Navistar 4300,2015,Diesel
T685574Q,Navistar 4300,2019,Diesel
W313518S,Volvo VNL,2017,LNG
W233749H,Mack Anthem,2016,Diesel
X941343L,Volvo VNL,2023,LNG
D408240J,Kenworth T680,2019,Diesel
S427109E,Mack Anthem,2024,Diesel
E775204H,Peterbilt 579,2020,CNG
J167190J,Peterbilt 579,2019,CNG
W941318A,Navistar 4300,2022,Diesel
C999386C,Mack Anthem,2015,Diesel
D496499N,Volvo VNL,2021,LNG
P133412L,Mack Anthem,2015,Diesel
S812067M,Freightliner M2,2020,Diesel
S740344D,Kenworth T680,2019,Diesel
H134936I,Kenworth T680,2022,Diesel
K324210Y,Navistar 4300,2021,Diesel
D499471S,Navistar 4300,2015,Diesel
C464887F,Volvo VNL,2016,LNG
B906594F,Kenworth T680,2023,Diesel
C399049W,Freightliner M2,2020,Diesel
L278742B,Hino 268,2023,CNG
U717565Q,Kenworth T680,2021,Diesel
Q125674Z,Kenworth T680,2015,Diesel
U807154H,Mack Anthem,2020,Diesel
D680876M,Freightliner M2,2020,Diesel
N859770R,Peterbilt 579,2018,CNG
B824771O,Volvo VNL,2020,LNG
J932480A,Navistar 4300,2021,Diesel
F131712T,Hino 268,2017,CNG
P484677D,Peterbilt 579,2017,CNG
V826398I,Kenworth T680,2021,Diesel
A146584S,Freightliner M2,2017,Diesel
I499727E,International LT,2021,Diesel
U558867M,Peterbilt 579,2019,CNG
U396360V,Kenworth T680,2016,Diesel
I766270G,Western Star 49X,2015,LNG
D951718A,Freightliner Cascadia,2018,Electric
V262174N,Peterbilt 579,2022,CNG
O615865T,International LT,2019,Diesel
O780913R,Peterbilt 579,2018,CNG
C431611K,Freightliner M2,2018,Diesel
W400504X,Western Star 49X,2020,LNG
R623869Y,Mack Anthem,2016,Diesel
N222196R,Mack Anthem,2020,Diesel
O379237Q,Navistar 4300,2021,Diesel
K740748E,Navistar 4300,2020,Diesel
D759464T,Freightliner M2,2016,Diesel
K367136W,Mack Anthem,2017,Diesel
